Time	Lead II
0	0
0.01	0
0.02	0
0.03	0
0.04	0
0.05	0
0.06	0
0.07	0
0.08	0
0.09	0
0.1	0
0.11	0
0.12	0
0.13	0
0.14	0
0.15	0
0.16	0
0.17	0
0.18	0
0.19	0
0.2	0
0.21	0
0.22	0
0.23	0
0.24	0
0.25	0
0.26	0
0.27	0
0.28	0
0.29	0
0.3	0
0.31	0
0.32	0
0.33	0
0.34	0
0.35	0
0.36	0
0.37	0
0.38	0
0.39	0
0.4	0
0.41	0
0.42	0
0.43	0
0.44	0
0.45	0
0.46	0
0.47	0
0.48	0
0.49	0
0.5	0
0.51	0
0.52	0
0.53	0
0.54	0
0.55	0
0.56	0
0.57	0
0.58	0
0.59	0
0.6	0
0.61	0
0.62	0
0.63	0
0.64	0
0.65	0
0.66	0
0.67	0
0.68	0
0.69	0
0.7	0
0.71	0
0.72	0
0.73	0
0.74	0
0.75	0
0.76	0
0.77	0
0.78	0
0.79	0
0.8	0
0.81	0
0.82	0
0.83	0
0.84	0
0.85	0
0.86	0
0.87	0
0.88	0
0.89	0
0.9	0
0.91	0
0.92	0
0.93	0
0.94	0
0.95	0
0.96	0
0.97	0
0.98	0
0.99	0
1	0
1.01	0
Time	Lead II
0	0
0.01	0
0.02	0
0.03	0
0.04	0
0.05	0
0.06	0
0.07	0
0.08	0
0.09	0
0.1	0
0.11	0
0.12	0
0.13	0
0.14	0
0.15	0
0.16	0
0.17	0
0.18	0
0.19	0
0.2	0
0.21	0
0.22	0
0.23	0
0.24	0
0.25	0
0.26	0
0.27	0
0.28	0
0.29	0
0.3	0
0.31	0
0.32	0
0.33	0
0.34	0
0.35	0
0.36	0
0.37	0
0.38	0
0.39	0
0.4	0
0.41	0
0.42	0
0.43	0
0.44	0
0.45	0
0.46	0
0.47	0
0.48	0
0.49	0
0.5	0
0.51	0
0.52	0
0.53	0
0.54	0
0.55	0
0.56	0
0.57	0
0.58	0
0.59	0
0.6	0
0.61	0
0.62	0
0.63	0
0.64	0
0.65	0
0.66	0
0.67	0
0.68	0
0.69	0
0.7	0
0.71	0
0.72	0
0.73	0
0.74	0
0.75	0
0.76	0
0.77	0
0.78	0
0.79	0
0.8	0
0.81	0
0.82	0
0.83	0
0.84	0
0.85	0
0.86	0
0.87	0
0.88	0
0.89	0
0.9	0
0.91	0
0.92	0
0.93	0
0.94	0
0.95	0
0.96	0
0.97	0
0.98	0
0.99	0
1	0
1.01	0
1.02	0
1.03	0
1.04	0
1.05	0
1.06	0
1.07	0
1.08	0
1.09	0
1.1	0
1.11	0
1.12	0
1.13	0
1.14	0
1.15	0
1.16	0
1.17	0
1.18	0
1.19	0
1.2	0
1.21	0
1.22	0
1.23	0
1.24	0
1.25	0
1.26	0
1.27	0
1.28	0
1.29	0
1.3	0
1.31	0
1.32	0
1.33	0
1.34	0
1.35	0
1.36	0
1.37	0
1.38	0
1.39	0
1.4	0
1.41	0
1.42	0
1.43	0
1.44	0
1.45	0
1.46	0
1.47	0
1.48	0
1.49	0
1.5	0
1.51	0
1.52	0
1.53	0
1.54	0
1.55	0
1.56	0
1.57	0
1.58	0
1.59	0
1.6	0
1.61	0
1.62	0
1.63	0
1.64	0
1.65	0
1.66	0
1.67	0
1.68	0
1.69	0
1.7	0
1.71	0
1.72	0
1.73	0
1.74	0
1.75	0
1.76	0
1.77	0
1.78	0
1.79	0
1.8	0
1.81	0
1.82	0
1.83	0
1.84	0
1.85	0
1.86	0
1.87	0
1.88	0
1.89	0
1.9	0
1.91	0
1.92	0
1.93	0
1.94	0
1.95	0
1.96	0
1.97	0
1.98	0
1.99	0
2	-0.000776427
2.01	-0.120415
2.02	-0.177437
2.03	-0.127473
2.04	-0.0349018
2.05	-0.0473559
2.06	-0.0305117
2.07	-0.028318
2.08	-0.0361563
2.09	0.0035654
2.1	-0.0154897
2.11	0.0141524
2.12	0.0167084
2.13	-0.00420199
2.14	0.0179116
2.15	-0.0201794
2.16	-0.00530863
2.17	-0.0107842
2.18	-0.036612
2.19	-0.0156918
2.2	-0.0581482
2.21	-0.0389015
2.22	-0.0309795
2.23	-0.0438482
2.24	-0.0177
2.25	-0.0570566
2.26	-0.0466081
2.27	-0.0536909
2.28	-0.073318
2.29	-0.0435131
2.3	-0.0718875
2.31	-0.0496973
2.32	-0.0475239
2.33	-0.0639325
2.34	-0.0394203
2.35	-0.0779536
2.36	-0.0673713
2.37	-0.0744768
2.38	-0.0929626
2.39	-0.0620856
2.4	-0.0883219
2.41	-0.0668932
2.42	-0.0594882
2.43	-0.0568536
2.44	-0.0124095
2.45	-0.0392244
2.46	-0.0280819
2.47	-0.0445207
2.48	-0.0744342
2.49	-0.0589705
2.5	-0.104688
2.51	-0.0945488
2.52	-0.10058
2.53	-0.115945
2.54	-0.0833455
2.55	-0.114153
2.56	-0.100209
2.57	-0.0896669
2.58	0.0113514
2.59	0.37576
2.6	0.689203
2.61	0.664262
2.62	0.319194
2.63	0.00856976
2.64	-0.0759008
2.65	-0.111405
2.66	-0.0713177
2.67	-0.0661006
2.68	-0.0814589
2.69	-0.0522272
2.7	-0.0822921
2.71	-0.0604689
2.72	-0.0833821
2.73	-0.127303
2.74	-0.0692894
2.75	-0.0675935
2.76	-0.0386222
2.77	-0.0155345
2.78	-0.0193905
2.79	0.0371953
2.8	0.0356378
2.81	0.0668146
2.82	0.0992893
2.83	0.109798
2.84	0.176787
2.85	0.174932
2.86	0.193811
2.87	0.191925
2.88	0.149689
2.89	0.155514
2.9	0.0931355
2.91	0.0598591
2.92	0.0280704
2.93	-0.0242469
2.94	-0.01523
2.95	-0.0564218
2.96	-0.0551002
2.97	-0.0540317
2.98	-0.0743734
2.99	-0.0302183
3	-0.0415961
3.01	-0.0196475
3.02	-0.009032
3.03	-0.0343743
3.04	0.000786247
3.05	-0.0194305
3.06	-0.00343003
3.07	0.00588937
3.08	-0.0161696
3.09	0.00831895
3.1	-0.0270531
3.11	-0.020398
3.12	-0.0202961
3.13	-0.0518166
3.14	-0.0239073
3.15	-0.0509453
3.16	-0.0401553
3.17	-0.0362968
3.18	-0.0610495
3.19	-0.0312628
3.2	-0.0589186
3.21	-0.0452503
3.22	-0.0369194
3.23	-0.0645709
3.24	-0.0367357
3.25	-0.0622307
3.26	-0.0508698
3.27	-0.0447926
3.28	-0.0669873
3.29	-0.0367973
3.3	-0.0663386
3.31	-0.0568104
3.32	-0.0545288
3.33	-0.077453
3.34	-0.0411485
3.35	-0.0630211
3.36	-0.0370983
3.37	-0.0110689
3.38	-0.0222523
3.39	0.0127621
3.4	-0.00999536
3.41	-0.0044567
3.42	-0.0215201
3.43	-0.0679498
3.44	-0.0568787
3.45	-0.0965084
3.46	-0.0895142
3.47	-0.0910273
3.48	-0.121841
3.49	-0.0937355
3.5	-0.124284
3.51	-0.107049
3.52	-0.030187
3.53	0.221715
3.54	0.643844
3.55	0.701564
3.56	0.415707
3.57	0.08358
3.58	-0.0954359
3.59	-0.0873865
3.6	-0.102452
3.61	-0.0777794
3.62	-0.0716134
3.63	-0.0923134
3.64	-0.0563638
3.65	-0.0801569
3.66	-0.0644159
3.67	-0.0547682
3.68	-0.0703293
3.69	-0.0308493
3.7	-0.0500339
3.71	-0.0271551
3.72	-0.0120039
3.73	-0.0169128
3.74	0.0404468
3.75	0.0414625
3.76	0.0853351
3.77	0.12376
3.78	0.135373
3.79	0.19112
3.8	0.177292
3.81	0.192614
3.82	0.176978
